EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
35 429 4 -0.273348 -1.1537 1.05465 0.00179395 1.56267
35 447 6 -0.267873 -0.711104 1.05881 0.00267791 2.21132
35 455 14 1.04736 1.00903 0.287574 0.000774311 0.676254
35 462 12 0.268889 0.154889 1.05277 0.00140871 1.05838
38 356 12 -0.679305 1.50259 0.476572 0.00106176 1.06925
38 372 6 0.980524 0.603541 0.610352 0.00135687 0.974762
38 398 8 -1.12268 0.602692 -0.275456 0.00101817 0.859215
38 406 0 0.277282 -0.254911 1.1262 0.000911783 0.648956
38 408 8 -0.59746 -0.716475 0.985545 0.00047497 0.457142
38 412 6 -0.273005 -0.264034 1.12638 0.00203332 1.72462
38 413 6 0.602362 0.602422 0.984375 0.00200886 1.72434
38 414 0 0.266799 -0.692491 1.12485 0.00127063 1.14989
38 420 8 -0.938199 -0.715151 0.554067 0.000720314 0.670683
38 449 12 1.04523 -0.711149 0.279606 0.000976702 0.788298
38 463 0 -0.549445 0.154402 0.936792 0.000120192 0.104333
39 340 4 0.389117 -1.55656 0.5811 0.00160955 1.31392
39 348 6 0.593255 -1.55989 0.381869 0.00124662 0.993323
39 358 22 -0.685076 1.49826 -0.463513 0.00108941 1.56524
39 361 16 0.483502 1.50132 -0.677697 0.00142634 1.52877
39 381 12 0.987308 -0.265603 -0.6027 0.00102721 0.87052
39 401 18 -1.12268 -0.263086 -0.275456 0.000899007 0.805562
39 406 2 0.277282 -0.254911 1.1262 0.00230365 1.63961
39 414 0 0.266799 -0.692491 1.12485 0.00117563 1.06392
39 447 6 -0.267873 -0.711104 1.05881 0.00141384 1.1675
40 357 4 -0.81581 1.49826 -0.136478 0.00178464 1.07185
40 359 2 -0.151149 1.49826 -0.81322 0.000330852 1.57549
40 360 2 -0.468627 1.50284 -0.666452 0.0022832 1.76445
40 367 8 0.683524 1.50021 -0.470894 0.00152014 1.04334
40 368 2 -0.00571435 1.49826 -0.291243 0.00359413 2.32329
40 384 8 -0.601978 0.606756 -0.985573 0.00172083 1.43762
40 408 14 -0.59746 -0.716475 0.985545 0.000924972 0.890253
40 422 8 -0.941372 1.00794 -0.540199 0.00153926 1.18678
40 440 10 0.276007 0.156461 -1.06118 0.00161729 1.39783
41 353 4 -0.813383 1.49826 0.150272 0.000185102 0.567797
41 357 0 -0.81581 1.49826 -0.136478 0.011056 6.64027
41 360 0 -0.468627 1.50284 -0.666452 0.00182271 1.40858
41 400 0 -0.989842 0.602282 0.590253 0.000562191 0.492287
41 421 8 -0.941372 0.158238 -0.540199 0.000749756 0.630577
41 422 2 -0.941372 1.00794 -0.540199 0.000765944 0.590551
41 426 2 -0.938199 1.00742 0.554067 0.00156827 1.44808
41 437 18 0.276007 1.00917 -1.06118 0.00126186 0.978944
41 438 12 0.550774 1.00917 -0.943521 0.00152385 1.22202
41 463 10 -0.549445 0.154402 0.936792 0.000971624 0.843423
42 356 6 -0.679305 1.50259 0.476572 0.00205075 2.06521
42 357 6 -0.81581 1.49826 -0.136478 0.00222431 1.33592
42 358 4 -0.685076 1.49826 -0.463513 0.00189105 2.71702
42 359 6 -0.151149 1.49826 -0.81322 9.504e-05 0.452572
42 360 4 -0.468627 1.50284 -0.666452 0.000499436 0.385963
42 370 12 -0.0268918 1.49826 0.300221 0.00113847 0.962357
42 384 0 -0.601978 0.606756 -0.985573 0.00411622 3.43878
42 386 0 -0.269554 0.604503 -1.12894 0.00217697 1.80811
42 404 4 -0.938199 0.15471 0.554067 0.00293952 2.18877
42 404 32 -0.938199 0.15471 0.554067 0.00167775 1.24925
42 414 26 0.266799 -0.692491 1.12485 0.000770953 0.697695
42 421 2 -0.941372 0.158238 -0.540199 0.00304534 2.56126
42 423 16 -1.05665 1.00742 0.259726 0.00116969 0.957976
42 424 4 -1.05665 0.15471 0.259726 0.00123793 1.00481
42 442 6 -0.54913 1.01282 -0.929323 0.000453179 0.343578
42 446 6 -0.549445 1.00597 0.936792 0.00116421 0.87207
45 336 20 -0.57756 -1.55118 -0.371039 0.00136437 1.17214
45 351 14 0.67025 -1.55989 -0.355213 0.00276595 2.07032
45 373 6 1.12177 0.602141 -0.276053 0.00147223 1.26589
45 373 28 1.12177 0.602141 -0.276053 0.00122704 1.05506
45 376 8 1.11571 -0.268439 0.278947 0.000896486 0.772833
45 380 2 0.987308 0.602141 -0.6027 0.00425383 3.82883
45 390 6 0.598148 -0.265697 -0.99431 0.000720974 0.697942
45 409 6 -0.587648 -0.267541 0.99154 0.000902936 0.795538
45 412 8 -0.273005 -0.264034 1.12638 0.00365427 3.09947
45 413 6 0.602362 0.602422 0.984375 0.00109577 0.940571
45 415 10 0.272041 0.602422 1.12552 7.1579e-05 0.0763917
45 417 28 -1.05665 -1.14088 0.259726 0.00178832 1.56596
45 455 6 1.04736 1.00903 0.287574 0.001184 1.03406
45 459 4 0.930484 1.00903 0.567959 0.000775806 0.614256
45 462 4 0.268889 0.154889 1.05277 0.00140804 1.05788
46 343 10 0.148044 -1.55989 -0.473932 0.00129624 0.953118
46 355 6 -0.47802 1.50184 0.683966 0.00129691 0.843792
46 358 10 -0.685076 1.49826 -0.463513 0.000740956 1.06459
46 385 12 -0.267693 -0.680675 -1.13026 0.00088166 0.771356
46 393 8 -0.548115 0.157547 -0.938666 0.000963382 0.640121
46 401 4 -1.12268 -0.263086 -0.275456 0.000552844 0.49538
46 413 8 0.602362 0.602422 0.984375 0.00117815 1.01128
46 421 0 -0.941372 0.158238 -0.540199 0.00515091 4.33214
46 424 16 -1.05665 0.15471 0.259726 0.000916292 0.743744
47 371 12 -0.296992 1.49826 -0.000172272 0.00171426 1.11244
47 388 8 -0.271416 -0.248554 -1.12762 0.000852933 0.695137
47 399 2 -0.985707 -0.68356 -0.603023 0.000772816 0.672599
47 401 20 -1.12268 -0.263086 -0.275456 0.000640659 0.574067
47 419 2 -1.04673 -0.712828 -0.284475 0.00108603 0.90729
47 427 0 -1.05098 -1.14774 -0.277048 0.00300124 2.58283
47 432 4 -0.547101 -0.704891 -0.948009 0.00315935 2.42096
47 433 4 0.550774 -1.13919 -0.943521 0.000215798 0.186676
47 434 8 0.27818 -1.14058 -1.05805 0.000983027 0.869935
50 348 8 0.593255 -1.55989 0.381869 0.00155947 1.24261
50 374 4 0.980274 -0.683454 0.609862 0.00148801 1.28056
50 414 4 0.266799 -0.692491 1.12485 0.000682772 0.617893
50 428 10 -0.270611 0.154402 1.05673 0.000246596 0.205497
50 447 4 -0.267873 -0.711104 1.05881 0.00127699 1.05449
50 453 4 1.04736 -1.14666 0.287574 0.000911804 0.787395
51 340 12 0.389117 -1.55656 0.5811 0.00152965 1.2487
51 350 12 0.791119 -1.55087 0.183507 0.000838831 0.698444
51 354 14 0.468804 1.50338 0.667847 0.00182174 1.07604
51 357 10 -0.81581 1.49826 -0.136478 0.00158278 0.950616
51 358 18 -0.685076 1.49826 -0.463513 0.000590402 0.848279
51 359 10 -0.151149 1.49826 -0.81322 0.000223976 1.06655
51 363 10 0.154679 1.50033 -0.818467 0.00150119 1.05199
51 369 6 0.150493 1.49826 0.813342 0.00130942 1.6327
51 372 2 0.980524 0.603541 0.610352 0.00151929 1.09144
51 373 4 1.12177 0.602141 -0.276053 0.00120785 1.03856
51 376 2 1.11571 -0.268439 0.278947 0.00159304 1.37331
51 379 4 1.12145 -0.680034 -0.27666 0.00106287 0.864126
51 384 12 -0.601978 0.606756 -0.985573 0.000988471 0.825791
51 389 4 0.596843 0.603652 -0.995037 0.00100637 0.837943
51 405 2 0.553883 0.154889 0.93738 0.00154495 1.29393
51 417 12 -1.05665 -1.14088 0.259726 0.00116056 1.01625
51 449 6 1.04523 -0.711149 0.279606 0.00168168 1.35728
51 451 0 1.04949 0.158655 0.295542 0.00843423 6.81279
51 457 4 1.05467 0.15453 -0.266429 0.00371764 2.81426
51 461 4 0.553883 1.0076 0.93738 0.00300461 2.44277
52 341 6 -0.121207 -1.55989 0.438236 0.00149342 1.11699
52 344 6 -0.0498202 -1.55989 -0.27557 0.00196776 1.74601
52 361 14 0.483502 1.50132 -0.677697 0.00125484 1.34495
52 377 4 0.980773 -0.260593 0.610842 0.00217546 1.98672
52 378 6 1.12208 -0.256895 -0.275446 0.00150928 1.29219
52 387 8 0.27232 -0.255616 -1.12871 0.00137011 1.05312
52 402 12 -0.989842 -0.264831 0.590253 0.00108466 1.19063
52 414 0 0.266799 -0.692491 1.12485 0.000935002 0.846155
52 417 14 -1.05665 -1.14088 0.259726 0.0014792 1.29527
52 453 6 1.04736 -1.14666 0.287574 0.000968528 0.83638
52 454 10 1.05467 -1.14426 -0.266429 0.000828124 0.71637
53 344 2 -0.0498202 -1.55989 -0.27557 0.000556896 0.49414
53 375 10 1.11571 0.603541 0.278947 0.000185188 0.154969
53 385 6 -0.267693 -0.680675 -1.13026 0.00105409 0.922215
53 387 4 0.27232 -0.255616 -1.12871 0.00124802 0.959277
53 407 10 0.602362 -0.257622 0.984375 0.000680086 0.620517
53 451 6 1.04949 0.158655 0.295542 0.00328506 2.65352
53 452 4 0.930484 -1.14666 0.567959 0.00112535 0.821425
54 336 18 -0.57756 -1.55118 -0.371039 0.00122069 1.0487
54 358 2 -0.685076 1.49826 -0.463513 0.000720531 1.03525
54 360 0 -0.468627 1.50284 -0.666452 0.00154692 1.19545
54 370 44 -0.0268918 1.49826 0.300221 0.00124549 1.05283
54 382 10 0.940467 0.15453 -0.553142 0.00225319 1.52966
54 397 6 -1.12599 0.602282 0.263394 0.00107366 0.898458
54 398 8 -1.12268 0.602692 -0.275456 0.000765407 0.645913
54 422 4 -0.941372 1.00794 -0.540199 0.00140074 1.07999
56 367 6 0.683524 1.50021 -0.470894 0.000479322 0.328979
56 371 2 -0.296992 1.49826 -0.000172272 0.0043422 2.81778
56 377 16 0.980773 -0.260593 0.610842 0.000939524 0.858013
56 398 8 -1.12268 0.602692 -0.275456 0.00166968 1.40901
56 423 10 -1.05665 1.00742 0.259726 0.000753198 0.61687
56 435 20 -0.274461 0.157547 -1.04804 0.00191409 1.52275
56 460 4 -0.270611 1.00711 1.05673 0.00133024 1.07537
57 353 6 -0.813383 1.49826 0.150272 0.000396085 1.21498
57 358 0 -0.685076 1.49826 -0.463513 0.00384306 5.52164
57 360 0 -0.468627 1.50284 -0.666452 0.0168868 13.0501
57 368 4 -0.00571435 1.49826 -0.291243 0.000717459 0.463774
57 370 8 -0.0268918 1.49826 0.300221 0.000152762 0.129131
57 418 22 -0.941372 -1.14774 -0.540199 0.000819016 0.681945
57 437 4 0.276007 1.00917 -1.06118 0.00422635 3.27879
57 455 12 1.04736 1.00903 0.287574 0.0010685 0.933185
57 463 24 -0.549445 0.154402 0.936792 0.00143102 1.2422
58 335 4 -0.445549 -1.55989 0.121155 0.00051416 0.393691
58 338 4 0.0766569 -1.55989 0.239873 0.00113315 0.905074
58 341 0 -0.121207 -1.55989 0.438236 0.00258138 1.93072
58 418 6 -0.941372 -1.14774 -0.540199 0.00113123 0.941903
58 432 14 -0.547101 -0.704891 -0.948009 0.000346673 0.26565
58 462 12 0.268889 0.154889 1.05277 0.000700993 0.526667
59 375 14 1.11571 0.603541 0.278947 0.0021042 1.76084
