eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
203 -50.5249 -153.07 -8.94729 0 0.129677 0.928409 0.348196 3.011 0.0096556
204 100.908 -132.688 -8.3901 0 0.470802 -0.845266 -0.252725 3.011 0.00940208
205 82.8089 153.645 -50.7941 0 -0.202189 -0.893407 0.401177 3.011 0.00847291
206 -9.46045 -7.89087 -13.6446 0 -0.169567 -0.641488 0.748158 3.011 0.00945064
207 141.143 -5.40647 -7.9152 0 -0.685775 -0.300344 -0.662953 3.011 0.00873606
208 38.4398 -154.773 -36.2582 0 -0.982981 -0.0854541 0.162621 3.011 0.00930638
209 -66.6715 -88.3801 55.8861 0 -0.403119 -0.377427 -0.833693 3.011 0.00927341
210 69.9231 -68.5168 -58.8313 0 -0.672811 0.540167 0.505515 3.011 0.00845327
211 -69.8075 103.656 -37.9803 0 -0.6901 0.625628 0.363803 3.011 0.00782922
212 -125.74 174.58 80.4396 0 0.206873 0.568282 0.796404 3.011 0.00897859
213 -35.7779 -106.829 69.7313 0 0.243404 0.807096 0.537912 3.011 0.00994904
214 100.471 5.35125 -55.3512 0 -0.683978 0.7007 -0.202961 3.011 0.0108665
215 -67.7161 26.4748 -88.3594 0 0.205298 0.937549 -0.280812 3.011 0.00917001
216 65.1567 -59.9709 -65.0316 0 0.814695 0.406166 0.413885 3.011 0.00608555
217 -99.6998 181.908 102.02 0 0.86471 -0.0435859 0.500376 3.011 0.00814137
218 -28.9134 167.316 30.3021 0 0.987914 -0.00589313 0.154889 3.011 0.0109993
219 -91.687 -27.2507 -29.529 0 -0.779698 0.247751 0.575058 3.011 0.00918073
220 -141.414 -106.325 16.1465 0 -0.710476 0.479196 -0.515359 3.011 0.00947078
221 -70.823 -52.5195 -110.776 0 -0.832779 -0.550121 0.0620184 3.011 0.0110507
222 97.7307 -133.412 -21.6517 0 0.614129 -0.712093 -0.340248 3.011 0.00912891
223 -39.0028 -118.702 136.139 0 -0.835651 0.462309 0.296578 3.011 0.0115508
224 85.2947 43.3509 -67.1348 0 -0.0734421 -0.385438 -0.919807 3.011 0.00581151
225 -111.199 -177.703 68.0723 0 0.77554 0.492319 0.39517 3.011 0.00600467
226 49.0823 -117.515 86.6101 0 0.646805 -0.698523 0.30612 3.011 0.00970418
227 -31.8887 -138.05 -135.091 0 -0.805833 0.585424 0.088944 3.011 0.010669
228 34.9991 -166.992 -131.88 0 0.220692 -0.234342 0.946773 3.011 0.0102707
229 117.967 -184.902 -62.0117 0 0.999173 0.0194708 -0.0357085 3.011 0.0104635
230 -21.523 -67.4315 -49.9194 0 -0.48914 -0.781612 -0.387072 3.011 0.0107153
231 -141.977 -111.548 36.8939 0 -0.68472 -0.0369369 0.72787 3.011 0.011835
232 -99.8216 92.1961 -83.8158 0 -0.167011 -0.690908 -0.703387 3.011 0.00932388
233 76.436 163.04 -106.769 0 0.103288 0.600481 -0.79294 3.011 0.00922737
234 100.705 -23.8881 73.1292 0 0.785797 -0.396186 -0.474931 3.011 0.0100181
235 -117.88 -82.0523 81.9315 0 -0.216336 -0.921583 0.32231 3.011 0.00840314
236 20.6682 -191.373 81.9144 0 0.314362 0.711558 0.62838 3.011 0.0109789
237 39.8458 20.9574 134.503 0 0.0840984 -0.236762 0.967921 3.011 0.00770182
238 122.717 -170.698 -21.5464 0 0.498409 -0.156884 -0.852629 3.011 0.0109063
239 10.1616 -67.9249 -103.29 0 0.598434 -0.284426 0.748985 3.011 0.00781982
240 1.24034 143.329 -100.931 0 -0.0827869 -0.534885 -0.84086 3.011 0.00493601
241 91.208 -113.032 64.1723 0 0.691906 0.720493 0.046437 3.011 0.00681325
242 72.7225 127.225 -118.718 0 0.765371 -0.0889198 0.637417 3.011 0.0107032
243 -27.7715 -185.031 71.9003 0 -0.041921 0.976679 0.210573 3.011 0.00840282
244 -8.80049 -38.0264 -134.601 0 0.0380972 0.96223 -0.269559 3.011 0.00997502
245 -138.88 -183.658 9.96004 0 -0.0718146 0.128759 -0.989072 3.011 0.00890201
246 -128.945 15.0383 -43.4843 0 0.847574 0.0244499 -0.530113 3.011 0.00784949
247 -106.935 60.2115 82.6355 0 0.363631 -0.0360099 0.930847 3.011 0.0113589
248 132.446 125.003 -3.58366 0 0.698376 -0.472582 -0.537529 3.011 0.0059577
249 -5.10662 -164.223 -130.812 0 0.703306 0.615544 -0.355622 3.011 0.000777413
250 146.113 169.712 5.80126 0 0.605832 0.652615 0.45504 3.011 0.0082082
251 -49.5424 68.046 -18.0644 0 0.33993 -0.145773 0.929084 3.011 0.0114904
252 -120.543 162.815 -86.5373 0 0.812474 0.299781 0.500018 3.011 0.00934799
253 16.0353 -131.022 6.75767 0 -0.197686 0.000625967 -0.980265 3.011 0.00990034
254 98.9123 49.9938 85.1066 0 0.845665 0.444454 -0.295486 3.011 0.0080516
255 32.8636 -127.769 73.5249 0 -0.861593 0.15083 -0.484672 3.011 0.00986552
256 110.938 -108.351 -25.7452 0 -0.558048 0.215617 -0.801306 3.011 0.00773619
257 -58.5204 155.986 94.9646 0 0.211603 0.839148 -0.501054 3.011 0.0106737
258 94.8797 -183.554 -14.5524 0 -0.575133 0.627594 -0.524736 3.011 0.00501855
259 34.7512 78.9305 72.7259 0 -0.651479 -0.744968 0.143517 3.011 0.0106457
260 -130.033 28.6443 6.15417 0 0.171217 0.798611 0.576979 3.011 0.00961015
261 96.1564 -82.8683 -30.9448 0 -0.38784 0.70842 -0.589679 3.011 0.00863388
262 58.8422 -25.5506 -133.064 0 -0.842193 -0.4439 -0.306046 3.011 0.0103495
263 -108.077 -114.453 101.455 0 -0.225615 0.127943 0.965779 3.011 0.0111301
264 99.8897 -38.8925 68.9664 0 0.228836 0.705542 0.670704 3.011 0.0100832
265 -25.5479 -139.804 -94.6034 0 0.506467 -0.405475 0.760974 3.011 0.00897306
266 41.1486 152.598 -46.1443 0 -0.669705 -0.644296 -0.369294 3.011 0.000662436
267 -84.8319 -123.812 90.1236 0 0.848558 -0.457701 -0.265442 3.011 0.0079577
268 -17.8608 89.6557 -29.8644 0 0.293581 0.602885 -0.741849 3.011 0.00927843
269 103.453 176.313 4.28033 0 0.907857 -0.293218 -0.299698 3.011 0.0108409
270 -139.366 -176.831 -40.4617 0 -0.0964312 -0.0925401 -0.991028 3.011 0.00841344
271 -136.677 40.101 -56.0535 0 0.437911 0.895332 -0.0813328 3.011 0.00966009
272 -60.3273 101.337 -76.2854 0 -0.0505576 0.989019 0.138874 3.011 0.00626709
273 -72.782 69.4843 25.602 0 -0.62373 -0.371372 -0.687782 3.011 0.00926837
274 81.8346 193.488 61.0279 0 0.182948 0.80269 0.567643 3.011 0.00799668
275 32.6874 186.5 47.1476 0 0.239561 -0.541668 -0.805734 3.011 0.00880159
276 25.08 -68.0566 -22.281 0 0.996061 -0.0843493 0.0273317 3.011 0.00955518
277 79.4241 51.4157 50.4106 0 -0.805115 -0.525734 0.274579 3.011 0.0088336
278 -51.759 181.647 76.3243 0 -0.725043 -0.688672 0.00665379 3.011 0.00860152
279 -5.79413 58.7942 -87.8984 0 0.500947 0.743506 -0.443002 3.011 0.0105959
280 -3.60249 -18.9619 -138.139 0 0.889622 0.0610396 -0.452601 3.011 0.00142843
281 140.513 1.26945 45.9922 0 -0.117279 0.79281 0.598078 3.011 0.00871849
282 -116.789 191.501 7.53383 0 0.189374 -0.656575 0.730101 3.011 0.0095293
283 15.4305 -130.68 64.2297 0 -0.223994 -0.313794 0.922692 3.011 0.0110559
284 10.6164 -53.6589 -26.1906 0 0.51817 0.416159 -0.747203 3.011 0.00993763
285 74.6327 -192.644 100.498 0 0.866412 -0.0861228 -0.491846 3.011 0.00752719
286 -47.9166 178.414 30.3653 0 0.906725 -0.332355 0.259596 3.011 0.00981053
287 -37.1231 37.0486 -10.9947 0 -0.0973745 -0.973487 0.20698 3.011 0.00757493
288 -35.3122 -135.243 -10.8696 0 -0.151727 0.82682 0.541616 3.011 0.0104626
289 -134.421 111.325 5.57142 0 0.978399 -0.0237969 0.205351 3.011 0.00987745
290 48.1752 -131.635 -19.3333 0 0.120201 0.558934 -0.820454 3.011 0.00918125
291 -32.0312 -34.8607 -25.3684 0 0.185122 -0.244192 0.951893 3.011 0.0107547
292 118.252 -94.0647 88.1754 0 0.344945 -0.583584 -0.735148 3.011 0.00162133
293 29.516 46.2815 125.089 0 -0.128375 -0.315532 0.940191 3.011 0.0111722
294 15.6043 52.2464 125.992 0 0.933011 -0.359837 -0.00274622 3.011 0.00843403
295 -128.056 -163.421 -27.3378 0 0.940647 0.205194 -0.270331 3.011 0.00799089
