eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
563 0.125839 106.417 13.7568 0.220723 60 12.5
565 0.0554487 46.13 3.46875 0.164852 42 14.8095
566 0.261259 216.797 11.8324 0.126346 96 11.0208
569 0.0678784 57.3641 6.68849 0.18802 41 11.4634
570 0.334705 271.628 45.8626 0.204327 93 11.2688
573 0.252297 219.345 22.6706 0.157557 76 10.9737
574 0.0778425 64.0477 10.961 0.23128 37 12.8649
575 0.344565 292.127 12.3638 0.114336 100 10.62
576 0.142095 122.965 13.7027 0.167621 60 10.1
577 0.33234 275.631 33.9256 0.181234 86 11.4651
578 0.0491601 42.3965 6.70075 0.209199 33 13.0303
579 0.0194368 15.6769 1.57344 0.248406 17 12.4706
580 0.21423 177.745 16.6767 0.17246 70 10.9143
581 0.280275 235.217 22.2789 0.16406 74 11.1081
582 0.0445745 39.6613 15.6255 0.413779 22 10.1818
583 0.27687 231.696 15.9037 0.15044 85 10.9176
584 0.130963 114.521 12.4431 0.157485 63 9.74603
587 0.285042 245.585 46.1952 0.254317 77 12.3636
589 0.297266 260.415 34.2248 0.202869 93 12.1505
590 0.0998123 81.0913 18.7318 0.276327 43 12.6977
591 0.075947 64.3707 8.8182 0.189338 41 10.3902
592 0.282625 237.88 19.5618 0.143891 98 12.5306
593 0.259519 226.985 12.6595 0.128888 88 12.3409
594 0.251088 210.738 11.5847 0.13537 82 12.5854
595 0.0673369 60.084 5.89746 0.17857 43 12.093
596 0.239135 198.973 14.1016 0.13089 78 12.1538
597 0.20082 164.777 42.1457 0.280594 66 12.0606
599 0.328326 279.739 15.4029 0.120208 105 11.7333
600 0.0586488 51.3948 7.98029 0.264862 30 11.3333
601 0.201254 169.501 16.3245 0.16088 72 11.2778
603 0.219354 179.532 20.5174 0.218354 62 11.129
606 0.292699 244.843 18.1923 0.125392 103 13.165
607 0.389426 324.443 28.3467 0.128614 112 12.2143
608 0.145252 121.314 25.5635 0.276033 50 9.72
609 0.139339 113.986 12.1775 0.147958 68 12.1176
610 0.203458 175.757 27.3312 0.247612 61 11.4426
611 0.170954 143.095 7.03993 0.110433 88 12.5909
612 0.0326865 28.238 5.54317 0.291097 18 8.88889
613 0.3051 258.134 22.6607 0.17044 86 12.186
614 0.132198 103.63 11.4352 0.20232 49 10.2449
615 0.258319 220.098 18.4675 0.171074 82 11.1463
616 0.0975588 83.4953 8.93433 0.176959 51 11.3725
618 0.180153 152.493 19.7662 0.168569 69 12.6667
619 0.119746 99.1433 22.6908 0.257544 55 12.7273
620 0.00744096 6.70943 1.41727 0.406583 6 11.6667
622 0.242118 213.982 15.483 0.16334 79 10.3291
623 0.108496 89.1534 13.4566 0.195901 51 12.7451
