eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
528 0.103569 89.1953 10.3728 0.199974 55
529 0.212765 179.932 44.1884 0.271396 55
530 0.132348 109.794 8.95552 0.180776 48
532 0.12283 109.927 10.2986 0.157485 67
533 0.0941642 77.3751 7.17049 0.165034 47
535 0.0858249 72.2655 11.9144 0.237808 32
537 0.137585 109.937 18.9416 0.211235 58
539 0.0391694 33.1582 2.95531 0.217912 27
540 0.0481206 41.528 6.89666 0.22326 31
542 0.134019 115.717 16.097 0.188282 60
543 0.15129 122.88 10.228 0.136727 72
545 0.0763069 67.775 10.1946 0.255967 31
546 0.106273 87.9273 10.6486 0.183935 45
547 0.140854 116.807 6.38864 0.129604 66
548 0.00916547 6.96906 1.95262 0.444722 8
549 0.087215 72.1609 7.77141 0.174001 49
551 0.140907 117.673 9.45462 0.170029 54
552 0.0705759 57.9061 8.12834 0.24225 30
553 0.168642 140.071 13.227 0.158774 64
555 0.0316663 25.5914 4.55293 0.301779 16
557 0.144487 114.392 25.8991 0.300615 37
561 0.114893 95.9156 7.9617 0.186364 43
562 0.0650989 54.84 11.2083 0.255162 34
563 0.108003 95.6912 18.0167 0.28752 31
564 0.134777 115.561 34.4377 0.354336 32
565 0.14083 118.527 12.6905 0.165471 54
566 0.121215 100.191 8.20677 0.169276 47
567 0.0543515 47.1831 7.0592 0.227323 31
568 0.0912508 76.3803 8.88049 0.190594 47
569 0.122048 102.249 14.6765 0.201421 52
570 0.0896958 70.9125 6.71106 0.185805 42
571 0.0278316 22.8988 2.94209 0.259718 17
573 0.0551482 45.3332 17.2828 0.413148 21
574 0.0908535 74.103 19.307 0.338511 28
575 0.09707 79.3092 14.7673 0.217598 44
576 0.0718343 53.4819 21.8596 0.419932 28
579 0.063518 52.697 11.391 0.262904 32
580 0.12484 102.619 14.8729 0.212921 53
581 0.15669 129.246 19.5965 0.199686 60
583 0.0469715 38.907 5.2994 0.231993 24
584 0.177925 149.844 11.1922 0.150066 65
586 0.0840894 69.6877 5.79729 0.173998 45
587 0.166192 135.168 11.1944 0.182409 50
589 0.0399652 34.093 9.26414 0.368799 20
590 0.115348 97.5591 5.83396 0.148152 56
592 0.0547638 45.5927 4.21589 0.196417 34
594 0.145268 122.989 12.0821 0.177849 53
595 0.136909 114.896 13.3559 0.194603 48
596 0.100516 85.443 12.4874 0.193484 47
597 0.0331555 27.5168 4.00814 0.245807 22
599 0.0951959 77.9307 13.5832 0.201012 52
