eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
778 0.23653 193.944 20.7539 0.17826 72
779 0.041318 33.65 4.65334 0.2051 29
780 0.0604638 51.3976 3.24792 0.166038 38
781 0.168111 141.773 15.0144 0.161359 70
784 0.116863 105.728 18.8272 0.202984 64
785 0.0895769 73.0246 7.07224 0.183985 45
787 0.123046 98.4396 20.6112 0.268778 47
788 0.016525 14.4561 2.14965 0.309541 11
789 0.236279 195.17 30.0187 0.222771 64
790 0.18308 153.685 15.8064 0.166372 65
791 0.249889 206.145 18.3036 0.174671 73
794 0.221916 189.217 16.6789 0.144337 87
795 0.320991 264.349 26.7266 0.159212 86
796 0.136138 108.304 20.5462 0.28823 46
797 0.018552 15.3346 2.00483 0.270123 16
798 0.0571013 48.0005 4.17799 0.192114 33
799 0.281595 244.378 28.7543 0.165433 82
801 0.140908 111.474 24.1296 0.246602 64
802 0.0561432 47.1374 3.6252 0.177289 38
804 0.177824 151.043 16.5256 0.207855 65
806 0.211083 174.671 20.6259 0.213617 66
807 0.0612217 49.2011 4.30024 0.168707 40
